[2026-05-13 19:28:38] Mode: EAGLE (Receiver - Benchmark)
[2026-05-13 19:28:38] [LR2021] Init OK
[2026-05-13 19:28:38] [EAGLE] Listening for packets...
[2026-05-13 19:28:49] 
[2026-05-13 19:28:49] ========= EAGLE BENCHMARK RESULTS =========
[2026-05-13 19:28:49]   Packets expected: 200
[2026-05-13 19:28:49]   Packets received: 200
[2026-05-13 19:28:49]   RX errors:        0
[2026-05-13 19:28:49]   Packet loss:      0.0 %
[2026-05-13 19:28:49]   Total RX bytes:   102200
[2026-05-13 19:28:49]   Elapsed time:     0.446 s
[2026-05-13 19:28:49]   Throughput:       1831.85 kbps
[2026-05-13 19:28:49] ==========================================
[2026-05-13 19:28:49] 
[2026-05-13 19:28:49] 
[2026-05-13 19:28:49] --- Per-packet log ---
[2026-05-13 19:28:49]   SEQ	RX ms	RSSI	Length
[2026-05-13 19:28:51]   0	389896	0.0	0
[2026-05-13 19:28:51]   17325	391699	0.0	0
[2026-05-13 19:28:51]   35209	392073	0.0	6
[2026-05-13 19:28:51]   0	394797	0.0	0
[2026-05-13 19:28:51]   0	396580	0.0	0
[2026-05-13 19:28:51]   0	396967	-0.5	6
[2026-05-13 19:28:51]   0	399699	0.0	0
[2026-05-13 19:28:51]   17325	401503	0.0	0
[2026-05-13 19:28:51]   0	401888	0.0	6
[2026-05-13 19:28:51]   0	404601	0.0	0
[2026-05-13 19:28:51]   0	406385	0.0	0
[2026-05-13 19:28:51]   0	406767	0.0	6
[2026-05-13 19:28:51]   0	409503	0.0	0
[2026-05-13 19:28:51]   17325	411306	0.0	0
[2026-05-13 19:28:51]   0	411692	0.0	6
[2026-05-13 19:28:51]   0	414408	0.0	0
[2026-05-13 19:28:51]   17325	416211	-0.5	0
[2026-05-13 19:28:51]   0	416597	0.0	6
[2026-05-13 19:28:51]   0	419311	-0.5	0
[2026-05-13 19:28:51]   17325	421115	0.0	0
[2026-05-13 19:28:51]   35209	421489	-0.5	6
[2026-05-13 19:28:51]   0	424212	0.0	0
[2026-05-13 19:28:51]   0	425998	-0.5	0
[2026-05-13 19:28:51]   0	426380	0.0	6
[2026-05-13 19:28:51]   0	429115	-0.5	0
[2026-05-13 19:28:51]   17325	430917	-0.5	0
[2026-05-13 19:28:51]   0	431290	-0.5	6
[2026-05-13 19:28:51]   0	434016	-0.5	0
[2026-05-13 19:28:51]   17325	435819	-0.5	0
[2026-05-13 19:28:51]   35209	436191	-0.5	6
[2026-05-13 19:28:51]   0	438917	-0.5	0
[2026-05-13 19:28:51]   0	440700	-0.5	0
[2026-05-13 19:28:51]   0	441083	-0.5	6
[2026-05-13 19:28:51]   0	443819	-0.5	0
[2026-05-13 19:28:51]   17325	446325	-0.5	0
[2026-05-13 20:55:02] Mode: EAGLE (Receiver - HelloWorld)
[2026-05-13 20:55:02] [LR2021] Init OK
[2026-05-13 20:55:02] [EAGLE] Listening...
